,note_name,start_time,duration,velocity,tempo
315,A3,105.741,13/20,83,120.0
316,D4,105.741,13/20,83,120.0
317,F#4,105.741,13/20,83,120.0
318,G2,106.877,257/500,73,120.0
319,B3,106.877,257/500,73,120.0
320,D4,106.877,257/500,73,120.0
321,G3,106.877,257/500,73,120.0
322,D4,107.391,117/250,65,120.0
323,G3,107.391,117/250,65,120.0
324,B3,107.391,117/250,65,120.0
325,G2,107.414,293/500,88,120.0
326,A2,107.973,27/1000,76,120.0
327,A3,107.973,27/1000,76,120.0
328,C#4,107.973,27/1000,76,120.0
329,G2,108.0,9/500,88,120.0
330,A2,108.0,133/250,76,120.0
331,A3,108.0,133/250,76,120.0
332,C#4,108.0,133/250,76,120.0
333,A3,108.555,13/20,48,120.0
334,A2,108.555,111/200,88,120.0
335,C#4,108.555,111/200,88,120.0
336,A2,109.109,79/200,70,120.0
337,C#4,109.109,291/500,72,120.0
338,E4,109.109,291/500,72,120.0
339,A3,109.205,58/125,90,120.0
340,A3,109.668,291/500,85,120.0
341,C#4,109.668,291/500,85,120.0
342,E4,109.668,291/500,85,120.0
343,A3,110.25,111/200,83,120.0
344,C#4,110.25,111/200,83,120.0
345,E4,110.25,111/200,83,120.0
346,C#4,110.805,441/1000,72,120.0
347,A3,110.805,257/500,90,120.0
348,E4,110.805,257/500,90,120.0
349,E4,111.341,291/500,96,120.0
350,A3,111.341,291/500,96,120.0
351,A2,111.923,77/1000,55,120.0
352,C#4,111.923,77/1000,91,120.0
353,A3,111.923,77/1000,91,120.0
354,E4,111.923,77/1000,91,120.0
355,A2,112.0,273/1000,55,120.0
356,C#4,112.0,459/1000,91,120.0
357,A3,112.0,459/1000,91,120.0
358,E4,112.0,459/1000,91,120.0
359,A2,112.482,277/1000,47,120.0
360,A3,112.482,111/200,91,120.0
361,C#4,112.482,111/200,91,120.0
362,E4,112.482,111/200,91,120.0
363,A3,113.036,559/1000,91,120.0
364,C#4,113.036,559/1000,91,120.0
365,E4,113.036,559/1000,91,120.0
366,A3,113.595,577/1000,90,120.0
367,C#4,113.595,577/1000,90,120.0
368,E4,113.595,577/1000,90,120.0
369,A3,114.15,559/1000,90,120.0
370,C#4,114.15,559/1000,90,120.0
371,E4,114.15,559/1000,90,120.0
372,A3,114.709,559/1000,82,120.0
373,C#4,114.709,559/1000,82,120.0
374,E4,114.709,559/1000,82,120.0
375,A3,115.268,559/1000,81,120.0
376,C#4,115.268,559/1000,81,120.0
377,E4,115.268,559/1000,81,120.0
378,A3,115.827,173/1000,83,120.0
379,C#4,115.827,173/1000,83,120.0
380,E4,115.827,173/1000,83,120.0
381,A3,116.0,191/500,83,120.0
382,C#4,116.0,191/500,83,120.0
